model,variant,fold,epoch,train_loss,val_loss,dice,iou,f1,hd,lr,balanced
unetpp,v1_kaggle_8c,1,1,0.890459,1.206178,0.109398,0.082198,0.109398,,9.99e-05,False
unetpp,v1_kaggle_8c,1,2,0.676645,0.675872,0.755623,0.663699,0.755623,,9.961e-05,False
unetpp,v1_kaggle_8c,1,3,0.618515,0.596518,0.774012,0.691967,0.774012,,9.911e-05,False
unetpp,v1_kaggle_8c,1,4,0.56411,0.546364,0.782144,0.703454,0.782144,,9.843e-05,False
unetpp,v1_kaggle_8c,1,5,0.52184,0.536215,0.769514,0.684318,0.769514,,9.755e-05,False
unetpp,v1_kaggle_8c,1,6,0.4891,0.519478,0.742013,0.65287,0.742013,,9.649e-05,False
unetpp,v1_kaggle_8c,1,7,0.452875,0.439592,0.787375,0.711743,0.787375,,9.524e-05,False
unetpp,v1_kaggle_8c,1,8,0.42652,0.414051,0.790749,0.717027,0.790749,,9.382e-05,False
unetpp,v1_kaggle_8c,1,9,0.407646,0.405779,0.784008,0.707118,0.784008,,9.222e-05,False
unetpp,v1_kaggle_8c,1,10,0.385081,0.380335,0.790459,0.716738,0.790459,,9.045e-05,False
unetpp,v1_kaggle_8c,1,11,0.365884,0.356407,0.794153,0.722151,0.794153,,8.853e-05,False
unetpp,v1_kaggle_8c,1,12,0.345995,0.335558,0.794696,0.722912,0.794696,,8.645e-05,False
unetpp,v1_kaggle_8c,1,13,0.33141,0.329005,0.789799,0.715349,0.789799,,8.423e-05,False
unetpp,v1_kaggle_8c,1,14,0.316966,0.314282,0.794821,0.723653,0.794821,,8.187e-05,False
unetpp,v1_kaggle_8c,1,15,0.303105,0.302413,0.796397,0.725529,0.796397,,7.939e-05,False
unetpp,v1_kaggle_8c,1,16,0.290897,0.292883,0.794779,0.723039,0.794779,,7.679e-05,False
unetpp,v1_kaggle_8c,1,17,0.282935,0.279088,0.798301,0.728505,0.798301,,7.409e-05,False
unetpp,v1_kaggle_8c,1,18,0.271812,0.274501,0.798088,0.728034,0.798088,,7.129e-05,False
unetpp,v1_kaggle_8c,1,19,0.261638,0.266352,0.798026,0.728583,0.798026,,6.841e-05,False
unetpp,v1_kaggle_8c,1,20,0.251691,0.251835,0.804451,0.738405,0.804451,,6.545e-05,False
unetpp,v1_kaggle_8c,1,21,0.24344,0.251565,0.802683,0.73557,0.802683,,6.243e-05,False
unetpp,v1_kaggle_8c,1,22,0.240571,0.239509,0.806017,0.740793,0.806017,,5.937e-05,False
unetpp,v1_kaggle_8c,1,23,0.23388,0.246565,0.799961,0.731647,0.799961,,5.627e-05,False
unetpp,v1_kaggle_8c,1,24,0.229419,0.235077,0.804212,0.737994,0.804212,,5.314e-05,False
unetpp,v1_kaggle_8c,1,25,0.220949,0.227766,0.809123,0.745925,0.809123,,5e-05,False
unetpp,v1_kaggle_8c,1,26,0.215169,0.224488,0.810125,0.747349,0.810125,,4.686e-05,False
unetpp,v1_kaggle_8c,1,27,0.209855,0.223956,0.809683,0.746242,0.809683,,4.373e-05,False
unetpp,v1_kaggle_8c,1,28,0.205226,0.215555,0.814134,0.753718,0.814134,,4.063e-05,False
unetpp,v1_kaggle_8c,1,29,0.198228,0.212192,0.815672,0.756351,0.815672,,3.757e-05,False
unetpp,v1_kaggle_8c,1,30,0.192878,0.206008,0.819674,0.76278,0.819674,,3.455e-05,False
unetpp,v1_kaggle_8c,1,31,0.191133,0.207696,0.816656,0.757702,0.816656,,3.159e-05,False
unetpp,v1_kaggle_8c,1,32,0.185858,0.203134,0.81896,0.761618,0.81896,,2.871e-05,False
unetpp,v1_kaggle_8c,1,33,0.183676,0.199233,0.821742,0.76634,0.821742,,2.591e-05,False
unetpp,v1_kaggle_8c,1,34,0.178813,0.199854,0.82262,0.767528,0.82262,,2.321e-05,False
unetpp,v1_kaggle_8c,1,35,0.173495,0.194228,0.826924,0.77499,0.826924,,2.061e-05,False
unetpp,v1_kaggle_8c,1,36,0.170711,0.187865,0.830295,0.780601,0.830295,,1.813e-05,False
unetpp,v1_kaggle_8c,1,37,0.166965,0.187619,0.830916,0.781638,0.830916,,1.577e-05,False
unetpp,v1_kaggle_8c,1,38,0.163835,0.183637,0.834701,0.788206,0.834701,,1.355e-05,False
unetpp,v1_kaggle_8c,1,39,0.160906,0.180024,0.83677,0.791778,0.83677,,1.147e-05,False
unetpp,v1_kaggle_8c,1,40,0.158351,0.179711,0.837159,0.792461,0.837159,,9.55e-06,False
unetpp,v1_kaggle_8c,1,41,0.156622,0.17752,0.838691,0.795129,0.838691,,7.78e-06,False
unetpp,v1_kaggle_8c,1,42,0.154675,0.177963,0.839224,0.796062,0.839224,,6.18e-06,False
unetpp,v1_kaggle_8c,1,43,0.152892,0.173612,0.841934,0.800831,0.841934,,4.76e-06,False
unetpp,v1_kaggle_8c,1,44,0.152833,0.1737,0.842335,0.801535,0.842335,,3.51e-06,False
unetpp,v1_kaggle_8c,1,45,0.151313,0.174768,0.841128,0.799404,0.841128,,2.45e-06,False
unetpp,v1_kaggle_8c,1,46,0.150597,0.17318,0.84192,0.800796,0.84192,,1.57e-06,False
unetpp,v1_kaggle_8c,1,47,0.150256,0.170528,0.844921,0.806114,0.844921,,8.9e-07,False
unetpp,v1_kaggle_8c,1,48,0.150948,0.172625,0.843719,0.803986,0.843719,,3.9e-07,False
unetpp,v1_kaggle_8c,1,49,0.149963,0.17164,0.843949,0.804388,0.843949,,1e-07,False
unetpp,v1_kaggle_8c,1,50,0.149696,0.172702,0.843153,0.802965,0.843153,3.4016,0.0,False
unetpp,v1_kaggle_8c,2,1,0.955855,1.318698,0.117445,0.087108,0.117445,,9.99e-05,False
unetpp,v1_kaggle_8c,2,2,0.70517,0.686655,0.748529,0.653416,0.748529,,9.961e-05,False
unetpp,v1_kaggle_8c,2,3,0.633894,0.625716,0.77152,0.687119,0.77152,,9.911e-05,False
unetpp,v1_kaggle_8c,2,4,0.577659,0.556715,0.780407,0.701142,0.780407,,9.843e-05,False
unetpp,v1_kaggle_8c,2,5,0.538056,0.55014,0.772572,0.689071,0.772572,,9.755e-05,False
unetpp,v1_kaggle_8c,2,6,0.509111,0.49935,0.784671,0.707032,0.784671,,9.649e-05,False
